,features,coef
0,EDTime,[0.25412064]
1,gender,[0.07753429]
2,WHITE,[0.14605456]
3,WHITE - RUSSIAN,[0.09901889]
4,WHITE - EASTERN EUROPEAN,[0.60605466]
5,WHITE - OTHER EUROPEAN,[0.00671288]
6,WHITE - BRAZILIAN,[-0.22679743]
7,SOUTH AMERICAN,[-0.05826664]
8,ASIAN,[0.42455915]
9,ASIAN - KOREAN,[-0.66398598]
10,ASIAN - CHINESE,[0.27664168]
11,ASIAN - SOUTH EAST ASIAN,[-0.23684533]
12,ASIAN - ASIAN INDIAN,[0.]
13,AMERICAN INDIAN/ALASKA NATIVE,[-0.09046657]
14,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,[0.14088789]
15,HISPANIC OR LATINO,[0.46281423]
16,HISPANIC/LATINO - GUATEMALAN,[-0.30712869]
17,HISPANIC/LATINO - DOMINICAN,[-0.15569219]
18,HISPANIC/LATINO - SALVADORAN,[0.51124359]
19,HISPANIC/LATINO - PUERTO RICAN,[-0.59110542]
20,HISPANIC/LATINO - COLUMBIAN,[-0.13609177]
21,HISPANIC/LATINO - HONDURAN,[-0.23694241]
22,HISPANIC/LATINO - CENTRAL AMERICAN,[-0.45409368]
23,HISPANIC/LATINO - CUBAN,[0.]
24,HISPANIC/LATINO - MEXICAN,[0.66352273]
25,PORTUGUESE,[-0.3294234]
26,BLACK/AFRICAN AMERICAN,[0.15425288]
27,BLACK/CAPE VERDEAN,[-0.224125]
28,BLACK/AFRICAN,[0.80327467]
29,BLACK/CARIBBEAN ISLAND,[0.4097888]
30,OTHER,[-1.08398908]
31,UNKNOWN,[0.42416183]
32,UNABLE TO OBTAIN,[-0.09596242]
33,PATIENT DECLINED TO ANSWER,[-0.2412069]
34,BMI,[0.27498026]
35,weight,[-0.04013951]
36,age,[2.58258497]
37,myocardial_infarction,[0.69252458]
38,congestive_heart_failure,[0.11999124]
39,peripheral_vascular_disease,[0.02401986]
40,cerebrovascular_disease,[0.46460618]
41,dementia,[-0.22607037]
42,chronic_pulmonary_disease,[0.02586063]
43,rheumatic_disease,[-0.09806009]
44,peptic_ulcer_disease,[-0.25095541]
45,mild_liver_disease,[0.08277095]
46,diabetes_without_chronic_complication,[0.39681345]
47,diabetes_with_chronic_complication,[-0.47933791]
48,hemiplegia_or_paraplegia,[-0.17599777]
49,renal_disease,[0.47229717]
50,malignancy,[0.39216319]
51,moderate_or_severe_liver_disease,[0.72504834]
52,metastatic_solid_tumor,[0.72918857]
53,AIDSHIV,[-0.02440676]
54,hypertension,[-0.21241977]
55,diabetes_mellitus,[-0.24221118]
56,log2_num_admissions,[-0.2396291]
57,log2_num_ED,[-0.68694305]
58,log2_num_ED_admissions,[-0.35530503]
59,WBC,[0.08615339]
60,platelet,[0.26727305]
61,log2_CRP,[-0.3919126]
62,glucose,[-0.15187883]
63,glucose_bg,[0.07942167]
64,lactate,[-0.1390305]
65,creatinine,[0.27485998]
66,bilirubin,[0.15464132]
67,po2/fio2,[-0.35051238]
68,gcs,[-1.59505816]
69,epinephrine,[0.20059672]
70,norepinephrine,[-0.10617714]
71,dopamine,[-0.28157296]
72,dobutamine,[0.39775274]
73,tracheostomy,[-0.95829806]
74,IV,[1.94348421]
75,NIV,[0.18613905]
76,HFNC,[0.43756954]
77,supplemental_oxygen,[-0.86248856]
78,temperature,[-1.77484584]
79,heartrate,[0.59625739]
80,resprate,[0.75319058]
81,o2sat,[0.07148888]
82,sbp,[-1.06569453]
83,dbp,[0.11578372]
84,qsofa,[1.14558785]
