,features,coef
0,EDTime,[0.13731348]
1,gender,[0.06241105]
2,WHITE,[0.10802737]
3,WHITE - RUSSIAN,[0.09374971]
4,WHITE - EASTERN EUROPEAN,[0.62027944]
5,WHITE - OTHER EUROPEAN,[0.02694809]
6,WHITE - BRAZILIAN,[-0.22771259]
7,SOUTH AMERICAN,[-0.0601438]
8,ASIAN,[0.40974252]
9,ASIAN - KOREAN,[-0.6571482]
10,ASIAN - CHINESE,[0.3127303]
11,ASIAN - SOUTH EAST ASIAN,[-0.22751543]
12,ASIAN - ASIAN INDIAN,[0.]
13,AMERICAN INDIAN/ALASKA NATIVE,[-0.09705883]
14,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,[0.13608721]
15,HISPANIC OR LATINO,[0.49685166]
16,HISPANIC/LATINO - GUATEMALAN,[-0.28421829]
17,HISPANIC/LATINO - DOMINICAN,[-0.14679108]
18,HISPANIC/LATINO - SALVADORAN,[0.52453514]
19,HISPANIC/LATINO - PUERTO RICAN,[-0.57821228]
20,HISPANIC/LATINO - COLUMBIAN,[-0.13682976]
21,HISPANIC/LATINO - HONDURAN,[-0.24104585]
22,HISPANIC/LATINO - CENTRAL AMERICAN,[-0.48489277]
23,HISPANIC/LATINO - CUBAN,[0.]
24,HISPANIC/LATINO - MEXICAN,[0.67002049]
25,PORTUGUESE,[-0.3362109]
26,BLACK/AFRICAN AMERICAN,[0.1089576]
27,BLACK/CAPE VERDEAN,[-0.21664825]
28,BLACK/AFRICAN,[0.78161344]
29,BLACK/CARIBBEAN ISLAND,[0.41749111]
30,OTHER,[-1.06601192]
31,UNKNOWN,[0.38857149]
32,UNABLE TO OBTAIN,[-0.10239717]
33,PATIENT DECLINED TO ANSWER,[-0.23467454]
34,BMI,[0.30088381]
35,weight,[-0.02649902]
36,age,[2.61217782]
37,myocardial_infarction,[0.69787401]
38,congestive_heart_failure,[0.06189829]
39,peripheral_vascular_disease,[0.09967231]
40,cerebrovascular_disease,[0.43472201]
41,dementia,[-0.19508686]
42,chronic_pulmonary_disease,[-0.07142944]
43,rheumatic_disease,[-0.04676387]
44,peptic_ulcer_disease,[-0.35995443]
45,mild_liver_disease,[0.05430879]
46,diabetes_without_chronic_complication,[0.4077925]
47,diabetes_with_chronic_complication,[-0.44764836]
48,hemiplegia_or_paraplegia,[-0.10473685]
49,renal_disease,[0.44343599]
50,malignancy,[0.38002125]
51,moderate_or_severe_liver_disease,[0.79798097]
52,metastatic_solid_tumor,[0.77570457]
53,AIDSHIV,[0.0172906]
54,hypertension,[-0.19656513]
55,diabetes_mellitus,[-0.18534561]
56,log2_num_admissions,[-0.17237909]
57,log2_num_ED,[-0.67050076]
58,log2_num_ED_admissions,[-0.39590911]
59,WBC,[0.02309548]
60,platelet,[0.31464797]
61,log2_CRP,[-0.54581582]
62,glucose,[-0.06021309]
63,glucose_bg,[0.1134108]
64,lactate,[-0.11118302]
65,creatinine,[0.1473995]
66,bilirubin,[0.21743877]
67,po2/fio2,[-0.32742702]
68,gcs,[-1.6107156]
69,epinephrine,[0.23326659]
70,norepinephrine,[-0.09496696]
71,dopamine,[-0.26364369]
72,dobutamine,[0.42589866]
73,tracheostomy,[-1.18674848]
74,IV,[1.94432962]
75,NIV,[0.24031172]
76,HFNC,[0.49547706]
77,supplemental_oxygen,[-0.89930873]
78,temperature,[-1.6969918]
79,heartrate,[0.59103608]
80,resprate,[0.7370542]
81,o2sat,[0.00367424]
82,sbp,[-1.11070322]
83,dbp,[0.10553099]
84,qsofa,[1.16670511]
