,features,coef
0,EDTime,[0.34570055]
1,0,[0.01089161]
2,1,[0.92081787]
3,2,[0.1689827]
4,3,[-0.08404509]
5,4,[0.60233802]
6,5,[0.31791916]
7,6,[1.59207816]
8,7,[0.05676326]
9,8,[-0.93122828]
10,9,[-0.16944916]
11,10,[-0.28879393]
12,11,[0.8822148]
13,12,[-1.03644063]
14,13,[-0.93856744]
15,14,[-1.1692466]
16,15,[-0.11386382]
17,16,[0.47794837]
18,17,[0.59671942]
19,18,[-0.19721768]
20,19,[0.41520117]
21,20,[-0.29240381]
22,21,[-1.01560645]
23,22,[0.2667696]
24,23,[0.227516]
25,24,[-0.31180945]
26,25,[0.85638227]
27,26,[1.04637805]
28,27,[-0.39261051]
29,28,[-0.12658227]
30,29,[0.63500329]
31,30,[0.19360039]
32,31,[0.15932834]
33,32,[1.65649331]
34,33,[-0.09962791]
35,34,[0.15480588]
36,35,[-0.16990916]
37,36,[-0.11688687]
38,37,[-0.18194752]
39,38,[0.48576643]
40,39,[-0.96018119]
41,40,[-0.29128171]
42,41,[-0.23032149]
43,42,[-1.40001299]
44,43,[-1.26734298]
45,44,[1.05752847]
46,45,[-0.06079192]
