,features,coef
0,EDTime,[0.22914175]
1,0,[0.02451749]
2,1,[0.87962464]
3,2,[0.17317355]
4,3,[-0.10950806]
5,4,[0.54242299]
6,5,[0.34016252]
7,6,[1.59551135]
8,7,[0.12031686]
9,8,[-0.98044859]
10,9,[-0.14959671]
11,10,[-0.29740443]
12,11,[0.92966606]
13,12,[-1.0346371]
14,13,[-0.8924028]
15,14,[-1.21715063]
16,15,[-0.15630589]
17,16,[0.45887616]
18,17,[0.62449536]
19,18,[-0.27725533]
20,19,[0.42617928]
21,20,[-0.26665821]
22,21,[-0.93734648]
23,22,[0.34156407]
24,23,[0.28762879]
25,24,[-0.31970949]
26,25,[0.79620311]
27,26,[0.95236925]
28,27,[-0.53591245]
29,28,[-0.08699521]
30,29,[0.61134291]
31,30,[0.09447941]
32,31,[0.2048195]
33,32,[1.72562177]
34,33,[-0.03414592]
35,34,[0.22982376]
36,35,[-0.15254382]
37,36,[-0.22670771]
38,37,[-0.18013962]
39,38,[0.48145262]
40,39,[-1.06812347]
41,40,[-0.38642892]
42,41,[-0.22354678]
43,42,[-1.53572734]
44,43,[-1.39095695]
45,44,[0.98282205]
46,45,[-0.05640658]
