,features,coef
0,EDTime,[0.18626597]
1,0,[0.3959337]
2,1,[-0.88514563]
3,2,[0.0457189]
4,3,[0.08761911]
5,4,[0.41636781]
6,5,[0.34016331]
7,6,[1.98713923]
8,7,[0.11704431]
9,8,[-0.05776714]
10,9,[-0.18747144]
11,10,[0.07334458]
12,11,[0.44393275]
13,12,[0.07044927]
14,13,[-0.02611394]
15,14,[-1.60127259]
16,15,[0.06268087]
17,16,[0.30215952]
18,17,[0.75147471]
19,18,[0.10166212]
20,19,[-0.50271682]
21,20,[-0.43401996]
22,21,[-0.76595585]
23,22,[-0.0338851]
24,23,[-0.3506627]
25,24,[-0.14278497]
26,25,[0.2224962]
27,26,[0.36661061]
28,27,[-0.3496736]
29,28,[0.22434668]
30,29,[0.24883303]
31,30,[0.84834461]
32,31,[-0.03444005]
33,32,[2.6642982]
34,33,[-0.14699999]
35,34,[-0.12216722]
36,35,[-1.10097552]
37,36,[-0.50201796]
38,37,[0.50031558]
39,38,[0.44376177]
40,39,[-0.02786106]
41,40,[0.8552801]
42,41,[0.09564994]
43,42,[-0.02852577]
44,43,[-1.24430599]
45,44,[0.32758508]
46,45,[0.2268262]
47,46,[-0.53886259]
48,47,[0.23141495]
49,48,[0.21224093]
50,49,[0.1605369]
51,50,[0.31951712]
52,51,[0.02885366]
