,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,694.0,2.0,993.0,66.0,604.0,370.0,630.0,8,631.0,66.0,28.0,370.0,365.0,66.0,261.0,370.0,481.0,370.0,648.0
1,5,456.0,5.0,1420.0,69.0,231.0,385.0,1687.0,16,1422.0,69.0,1334.0,385.0,1584.0,69.0,1900.0,385.0,149.0,385.0,1070.0
2,14,676.0,14.0,309.0,84.0,291.0,399.0,1468.0,24,59.0,84.0,1032.0,399.0,527.0,84.0,505.0,399.0,280.0,399.0,1052.0
3,22,961.0,22.0,383.0,99.0,1759.0,448.0,655.0,38,374.0,99.0,1740.0,448.0,458.0,99.0,165.0,448.0,870.0,448.0,1472.0
4,40,556.0,40.0,1542.0,122.0,617.0,454.0,1152.0,55,496.0,122.0,2126.0,454.0,2126.0,122.0,1749.0,454.0,1055.0,454.0,951.0
5,41,1612.0,41.0,793.0,125.0,1802.0,722.0,91.0,60,1127.0,125.0,1612.0,722.0,395.0,125.0,48.0,722.0,628.0,722.0,125.0
6,43,484.0,43.0,657.0,140.0,1920.0,772.0,1945.0,79,1634.0,140.0,341.0,772.0,1939.0,140.0,1948.0,772.0,384.0,772.0,1165.0
7,45,1174.0,45.0,275.0,148.0,416.0,796.0,1847.0,80,2048.0,148.0,1303.0,796.0,1554.0,148.0,1644.0,796.0,8.0,796.0,1115.0
8,50,1454.0,50.0,545.0,176.0,1580.0,1054.0,2015.0,83,587.0,176.0,1429.0,1054.0,962.0,176.0,1508.0,1054.0,1798.0,1054.0,2121.0
9,58,346.0,58.0,1140.0,193.0,1132.0,1058.0,1124.0,95,1479.0,193.0,1535.0,1058.0,2061.0,193.0,984.0,1058.0,440.0,1058.0,1428.0
10,67,100.0,67.0,2082.0,197.0,494.0,1406.0,914.0,116,1452.0,197.0,1507.0,1406.0,1313.0,197.0,439.0,1406.0,1171.0,1406.0,336.0
11,74,1081.0,74.0,226.0,234.0,1468.0,1485.0,775.0,126,1397.0,234.0,380.0,1485.0,941.0,234.0,1317.0,1485.0,1570.0,1485.0,1026.0
12,89,1269.0,89.0,2096.0,245.0,96.0,1589.0,1161.0,143,1649.0,245.0,603.0,1589.0,1351.0,245.0,463.0,1589.0,1691.0,1589.0,99.0
13,91,1901.0,91.0,1170.0,274.0,1264.0,1600.0,1499.0,155,1975.0,274.0,371.0,1600.0,2016.0,274.0,1121.0,1600.0,1959.0,1600.0,646.0
14,93,1909.0,93.0,86.0,334.0,1011.0,630.0,,162,561.0,334.0,586.0,365.0,,334.0,1925.0,481.0,,648.0,
15,96,102.0,96.0,1255.0,336.0,843.0,1687.0,,165,314.0,336.0,1554.0,1584.0,,336.0,1997.0,149.0,,1070.0,
16,105,264.0,105.0,534.0,345.0,2137.0,1468.0,,167,1233.0,345.0,1465.0,527.0,,345.0,1340.0,280.0,,1052.0,
17,114,172.0,114.0,12.0,347.0,914.0,655.0,,170,1830.0,347.0,922.0,458.0,,347.0,690.0,870.0,,1472.0,
18,118,1440.0,118.0,499.0,350.0,944.0,1152.0,,183,451.0,350.0,101.0,2126.0,,350.0,1994.0,1055.0,,951.0,
19,119,1553.0,119.0,372.0,357.0,630.0,91.0,,188,678.0,357.0,654.0,395.0,,357.0,258.0,628.0,,125.0,
20,123,1968.0,123.0,1434.0,388.0,1529.0,1945.0,,191,402.0,388.0,570.0,1939.0,,388.0,162.0,384.0,,1165.0,
21,131,1089.0,131.0,1358.0,409.0,404.0,1847.0,,199,570.0,409.0,1736.0,1554.0,,409.0,674.0,8.0,,1115.0,
22,160,441.0,160.0,1482.0,415.0,1480.0,2015.0,,205,563.0,415.0,489.0,962.0,,415.0,2139.0,1798.0,,2121.0,
23,173,1611.0,173.0,999.0,427.0,93.0,1124.0,,208,686.0,427.0,23.0,2061.0,,427.0,715.0,440.0,,1428.0,
24,174,1922.0,174.0,1902.0,459.0,1499.0,914.0,,212,1812.0,459.0,1918.0,1313.0,,459.0,1953.0,1171.0,,336.0,
25,179,328.0,179.0,1150.0,474.0,1124.0,775.0,,223,672.0,474.0,533.0,941.0,,474.0,1846.0,1570.0,,1026.0,
26,198,1829.0,198.0,1490.0,480.0,1194.0,1161.0,,224,458.0,480.0,390.0,1351.0,,480.0,1464.0,1691.0,,99.0,
