,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,184.0,2,612.0,66.0,1850.0,370.0,1519.0,8,1003.0,66.0,1743.0,370.0,922.0,66.0,849.0,370.0,1200.0,370.0,1666.0
1,5,622.0,5,1170.0,69.0,231.0,385.0,123.0,16,1368.0,69.0,716.0,385.0,1584.0,69.0,1521.0,385.0,1846.0,385.0,1070.0
2,14,1934.0,14,1255.0,84.0,1721.0,399.0,1468.0,24,606.0,84.0,570.0,399.0,527.0,84.0,671.0,399.0,280.0,399.0,347.0
3,22,1004.0,22,1314.0,99.0,1759.0,448.0,5.0,38,1572.0,99.0,794.0,448.0,136.0,99.0,971.0,448.0,850.0,448.0,274.0
4,40,679.0,40,30.0,122.0,1124.0,454.0,1152.0,55,585.0,122.0,1939.0,454.0,2126.0,122.0,155.0,454.0,1055.0,454.0,1688.0
5,41,1389.0,41,502.0,125.0,290.0,722.0,91.0,60,696.0,125.0,1573.0,722.0,672.0,125.0,1951.0,722.0,1411.0,722.0,633.0
6,43,812.0,43,1661.0,140.0,1084.0,772.0,1945.0,79,711.0,140.0,102.0,772.0,1667.0,140.0,1928.0,772.0,947.0,772.0,994.0
7,45,1879.0,45,1169.0,148.0,1670.0,796.0,630.0,80,2086.0,148.0,1303.0,796.0,2037.0,148.0,1141.0,796.0,658.0,796.0,2072.0
8,50,1226.0,50,1494.0,176.0,1519.0,1054.0,742.0,83,961.0,176.0,141.0,1054.0,2132.0,176.0,904.0,1054.0,1983.0,1054.0,548.0
9,58,266.0,58,1013.0,193.0,1622.0,1058.0,1124.0,95,56.0,193.0,44.0,1058.0,2061.0,193.0,149.0,1058.0,440.0,1058.0,951.0
10,67,2016.0,67,284.0,197.0,1742.0,1406.0,404.0,116,1535.0,197.0,950.0,1406.0,101.0,197.0,165.0,1406.0,405.0,1406.0,350.0
11,74,1397.0,74,1824.0,234.0,775.0,1485.0,775.0,126,1125.0,234.0,1829.0,1485.0,941.0,234.0,1464.0,1485.0,439.0,1485.0,646.0
12,89,1368.0,89,1845.0,245.0,742.0,1589.0,2005.0,143,363.0,245.0,925.0,1589.0,760.0,245.0,762.0,1589.0,1691.0,1589.0,567.0
13,91,614.0,91,1926.0,274.0,889.0,1600.0,1499.0,155,1473.0,274.0,1649.0,1600.0,2016.0,274.0,1217.0,1600.0,1959.0,1600.0,1428.0
14,93,713.0,93,1793.0,334.0,1184.0,1519.0,,162,1681.0,334.0,408.0,922.0,,334.0,1432.0,1200.0,,1666.0,
15,96,236.0,96,564.0,336.0,2140.0,123.0,,165,144.0,336.0,1646.0,1584.0,,336.0,1728.0,1846.0,,1070.0,
16,105,70.0,105,2024.0,345.0,96.0,1468.0,,167,533.0,345.0,1187.0,527.0,,345.0,1040.0,280.0,,347.0,
17,114,1592.0,114,632.0,347.0,944.0,5.0,,170,1736.0,347.0,1457.0,136.0,,347.0,690.0,850.0,,274.0,
18,118,1868.0,118,443.0,350.0,617.0,1152.0,,183,898.0,350.0,1235.0,2126.0,,350.0,1335.0,1055.0,,1688.0,
19,119,1792.0,119,309.0,357.0,630.0,91.0,,188,1518.0,357.0,1632.0,672.0,,357.0,445.0,1411.0,,633.0,
20,123,1388.0,123,1425.0,388.0,1575.0,1945.0,,191,552.0,388.0,960.0,1667.0,,388.0,540.0,947.0,,994.0,
21,131,1414.0,131,1595.0,409.0,1468.0,630.0,,199,1069.0,409.0,515.0,2037.0,,409.0,1477.0,658.0,,2072.0,
22,160,721.0,160,729.0,415.0,544.0,742.0,,205,563.0,415.0,111.0,2132.0,,415.0,781.0,1983.0,,548.0,
23,173,672.0,173,1433.0,427.0,1203.0,1124.0,,208,154.0,427.0,1585.0,2061.0,,427.0,2094.0,440.0,,951.0,
24,174,519.0,174,1358.0,459.0,1499.0,404.0,,212,1515.0,459.0,1918.0,101.0,,459.0,1953.0,405.0,,350.0,
25,179,389.0,179,1779.0,474.0,1152.0,775.0,,223,286.0,474.0,941.0,941.0,,474.0,1268.0,439.0,,646.0,
26,198,273.0,198,79.0,480.0,919.0,2005.0,,224,1360.0,480.0,1518.0,760.0,,480.0,1297.0,1691.0,,567.0,
27,201,1127.0,201,252.0,488.0,1786.0,1499.0,,225,1403.0,488.0,618.0,2016.0,,488.0,1549.0,1959.0,,1428.0,
28,203,926.0,203,12.0,508.0,826.0,,,226,75.0,508.0,840.0,,,508.0,1955.0,,,,
29,206,414.0,206,1785.0,516.0,1776.0,,,233,377.0,516.0,780.0,,,516.0,16.0,,,,
30,207,2115.0,207,1724.0,518.0,1687.0,,,237,1922.0,518.0,1868.0,,,518.0,1925.0,,,,
31,211,1999.0,211,905.0,548.0,914.0,,,238,1096.0,548.0,1719.0,,,548.0,171.0,,,,
32,214,714.0,214,1266.0,567.0,404.0,,,239,758.0,567.0,922.0,,,567.0,1010.0,,,,
33,219,139.0,219,1420.0,568.0,1215.0,,,247,1131.0,568.0,1205.0,,,568.0,815.0,,,,
34,220,1249.0,220,1902.0,633.0,41.0,,,253,1835.0,633.0,1931.0,,,633.0,601.0,,,,
35,231,2101.0,231,2008.0,639.0,798.0,,,275,1249.0,639.0,507.0,,,639.0,24.0,,,,
36,232,1394.0,232,1470.0,646.0,1945.0,,,296,1565.0,646.0,2090.0,,,646.0,625.0,,,,
37,240,2135.0,240,1539.0,648.0,992.0,,,326,482.0,648.0,88.0,,,648.0,1015.0,,,,
38,243,935.0,243,1773.0,663.0,865.0,,,333,1331.0,663.0,1704.0,,,663.0,2001.0,,,,
39,251,727.0,251,927.0,673.0,1896.0,,,335,727.0,673.0,1999.0,,,673.0,710.0,,,,
40,259,1185.0,259,1091.0,680.0,1596.0,,,366,1864.0,680.0,1676.0,,,680.0,1323.0,,,,
41,260,2084.0,260,2012.0,685.0,1194.0,,,372,486.0,685.0,1827.0,,,685.0,1341.0,,,,
42,267,1095.0,267,1121.0,689.0,50.0,,,407,328.0,689.0,277.0,,,689.0,1651.0,,,,
43,269,789.0,269,1886.0,732.0,1920.0,,,411,1918.0,732.0,1899.0,,,732.0,1019.0,,,,
44,270,2006.0,270,661.0,747.0,219.0,,,420,1695.0,747.0,1769.0,,,747.0,776.0,,,,
45,285,1972.0,285,1755.0,783.0,173.0,,,429,376.0,783.0,353.0,,,783.0,1914.0,,,,
46,290,1299.0,290,1286.0,808.0,1882.0,,,433,90.0,808.0,15.0,,,808.0,746.0,,,,
47,291,631.0,291,239.0,818.0,843.0,,,452,1946.0,818.0,129.0,,,818.0,248.0,,,,
48,292,1922.0,292,80.0,838.0,593.0,,,463,451.0,838.0,1563.0,,,838.0,1616.0,,,,
49,295,1174.0,295,171.0,845.0,1182.0,,,475,770.0,845.0,1095.0,,,845.0,1965.0,,,,
50,297,1609.0,297,1703.0,854.0,1289.0,,,481,922.0,854.0,819.0,,,854.0,262.0,,,,
51,299,561.0,299,1817.0,906.0,214.0,,,495,925.0,906.0,120.0,,,906.0,1793.0,,,,
52,300,327.0,300,566.0,920.0,892.0,,,498,1429.0,920.0,329.0,,,920.0,63.0,,,,
53,304,111.0,304,233.0,951.0,734.0,,,525,608.0,951.0,2126.0,,,951.0,86.0,,,,
54,308,1083.0,308,1274.0,979.0,1497.0,,,545,346.0,979.0,23.0,,,979.0,498.0,,,,
55,310,767.0,310,1222.0,994.0,1161.0,,,553,294.0,994.0,1667.0,,,994.0,1247.0,,,,
56,312,1952.0,312,763.0,1022.0,201.0,,,579,51.0,1022.0,1784.0,,,1022.0,1872.0,,,,
57,317,1958.0,317,1384.0,1026.0,1847.0,,,592,138.0,1026.0,563.0,,,1026.0,1870.0,,,,
58,320,190.0,320,703.0,1052.0,2005.0,,,595,1284.0,1052.0,101.0,,,1052.0,1206.0,,,,
59,360,159.0,360,1451.0,1065.0,93.0,,,599,1559.0,1065.0,699.0,,,1065.0,635.0,,,,
60,362,1315.0,362,670.0,1070.0,1580.0,,,607,344.0,1070.0,56.0,,,1070.0,384.0,,,,
61,386,2017.0,386,558.0,1115.0,291.0,,,615,1790.0,1115.0,598.0,,,1115.0,559.0,,,,
62,387,145.0,387,1482.0,1133.0,1275.0,,,616,692.0,1133.0,365.0,,,1133.0,1571.0,,,,
63,394,2117.0,394,1029.0,1165.0,211.0,,,620,1892.0,1165.0,1048.0,,,1165.0,1694.0,,,,
64,396,120.0,396,499.0,1175.0,1529.0,,,623,755.0,1175.0,178.0,,,1175.0,1907.0,,,,
65,401,2124.0,401,929.0,1177.0,1250.0,,,626,2117.0,1177.0,1634.0,,,1177.0,1461.0,,,,
66,403,158.0,403,1576.0,1181.0,2055.0,,,628,28.0,1181.0,751.0,,,1181.0,1984.0,,,,
67,404,1506.0,404,183.0,1212.0,1947.0,,,636,1479.0,1212.0,169.0,,,1212.0,674.0,,,,
68,410,1631.0,410,318.0,1220.0,89.0,,,645,828.0,1220.0,2120.0,,,1220.0,223.0,,,,
