,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,1088.0,2,352.0,66.0,1418.0,370.0,1519.0,8,1685.0,66.0,614.0,370.0,2061.0,66.0,171.0,370.0,1832.0,370.0,951.0
1,5,1185.0,5,1703.0,69.0,396.0,385.0,214.0,16,343.0,69.0,65.0,385.0,608.0,69.0,1748.0,385.0,971.0,385.0,1517.0
2,14,1113.0,14,1339.0,84.0,1882.0,399.0,1468.0,24,1840.0,84.0,54.0,399.0,1331.0,84.0,1836.0,399.0,1323.0,399.0,1898.0
3,22,2030.0,22,153.0,99.0,914.0,448.0,807.0,38,1224.0,99.0,1673.0,448.0,1720.0,99.0,1997.0,448.0,1550.0,448.0,1476.0
4,40,531.0,40,1013.0,122.0,1499.0,454.0,1945.0,55,724.0,122.0,753.0,454.0,527.0,122.0,162.0,454.0,2105.0,454.0,1026.0
5,41,1095.0,41,1451.0,125.0,2062.0,722.0,1942.0,60,390.0,125.0,111.0,722.0,468.0,125.0,771.0,722.0,579.0,722.0,548.0
6,43,1593.0,43,11.0,140.0,251.0,772.0,1152.0,79,1276.0,140.0,1709.0,772.0,2000.0,140.0,1793.0,772.0,901.0,772.0,122.0
7,45,1155.0,45,1785.0,148.0,50.0,796.0,1361.0,80,319.0,148.0,85.0,796.0,531.0,148.0,1230.0,796.0,1079.0,796.0,84.0
8,50,560.0,50,1319.0,176.0,1687.0,1054.0,2005.0,83,557.0,176.0,998.0,1054.0,15.0,176.0,1432.0,1054.0,1453.0,1054.0,1165.0
9,58,1426.0,58,382.0,193.0,1847.0,1058.0,914.0,95,587.0,193.0,653.0,1058.0,2126.0,193.0,706.0,1058.0,1570.0,1058.0,1813.0
10,67,1564.0,67,1176.0,197.0,1047.0,1406.0,1721.0,116,398.0,197.0,521.0,1406.0,1503.0,197.0,73.0,1406.0,2092.0,1406.0,663.0
11,74,1859.0,74,318.0,234.0,865.0,1485.0,1847.0,126,222.0,234.0,527.0,1485.0,353.0,234.0,1229.0,1485.0,814.0,1485.0,1717.0
12,89,1390.0,89,1496.0,245.0,211.0,1589.0,775.0,143,1284.0,245.0,872.0,1589.0,1864.0,245.0,866.0,1589.0,833.0,1589.0,1428.0
13,91,613.0,91,1614.0,274.0,734.0,1600.0,1687.0,155,1069.0,274.0,209.0,1600.0,2016.0,274.0,462.0,1600.0,1959.0,1600.0,1852.0
14,93,81.0,93,1707.0,334.0,1529.0,1519.0,,162,597.0,334.0,1196.0,2061.0,,334.0,126.0,1832.0,,951.0,
15,96,691.0,96,1482.0,336.0,1759.0,214.0,,165,1429.0,336.0,178.0,608.0,,336.0,1907.0,971.0,,1517.0,
16,105,1036.0,105,1777.0,345.0,617.0,1468.0,,167,1233.0,345.0,1757.0,1331.0,,345.0,857.0,1323.0,,1898.0,
17,114,701.0,114,2128.0,347.0,173.0,807.0,,170,608.0,347.0,257.0,1720.0,,347.0,1798.0,1550.0,,1476.0,
18,118,805.0,118,1984.0,350.0,1124.0,1945.0,,183,1862.0,350.0,1719.0,527.0,,350.0,64.0,2105.0,,1026.0,
19,119,1515.0,119,534.0,357.0,1152.0,1942.0,,188,2041.0,357.0,1966.0,468.0,,357.0,366.0,579.0,,548.0,
20,123,650.0,123,572.0,388.0,1837.0,1152.0,,191,1048.0,388.0,1547.0,2000.0,,388.0,1208.0,901.0,,122.0,
21,131,637.0,131,1031.0,409.0,231.0,1361.0,,199,1999.0,409.0,1228.0,531.0,,409.0,759.0,1079.0,,84.0,
22,160,802.0,160,1540.0,415.0,214.0,2005.0,,205,1359.0,415.0,802.0,15.0,,415.0,584.0,1453.0,,1165.0,
23,173,2078.0,173,63.0,427.0,179.0,914.0,,208,1282.0,427.0,1784.0,2126.0,,427.0,1222.0,1570.0,,1813.0,
24,174,1017.0,174,1633.0,459.0,1215.0,1721.0,,212,1865.0,459.0,1667.0,1503.0,,459.0,1055.0,2092.0,,663.0,
25,179,1730.0,179,1268.0,474.0,1945.0,1847.0,,223,720.0,474.0,329.0,353.0,,474.0,625.0,814.0,,1717.0,
26,198,1167.0,198,1873.0,480.0,992.0,775.0,,224,714.0,480.0,547.0,1864.0,,480.0,1211.0,833.0,,1428.0,
27,201,363.0,201,973.0,488.0,291.0,1687.0,,225,1059.0,488.0,1536.0,2016.0,,488.0,1824.0,1959.0,,1852.0,
28,203,1158.0,203,2074.0,508.0,1166.0,,,226,1351.0,508.0,692.0,,,508.0,1610.0,,,,
29,206,1889.0,206,1521.0,516.0,1468.0,,,233,1478.0,516.0,678.0,,,516.0,1965.0,,,,
30,207,879.0,207,719.0,518.0,843.0,,,237,941.0,518.0,2090.0,,,518.0,1247.0,,,,
31,211,1909.0,211,379.0,548.0,944.0,,,238,61.0,548.0,365.0,,,548.0,405.0,,,,
32,214,576.0,214,498.0,567.0,681.0,,,239,402.0,567.0,1740.0,,,567.0,615.0,,,,
33,219,1107.0,219,1628.0,568.0,1275.0,,,247,1125.0,568.0,314.0,,,568.0,600.0,,,,
34,220,1511.0,220,1558.0,633.0,1474.0,,,253,676.0,633.0,1064.0,,,633.0,318.0,,,,
35,231,1284.0,231,2032.0,639.0,1289.0,,,275,1904.0,639.0,867.0,,,639.0,1285.0,,,,
36,232,2017.0,232,558.0,646.0,1544.0,,,296,1899.0,646.0,1918.0,,,646.0,164.0,,,,
37,240,1577.0,240,1358.0,648.0,1277.0,,,326,273.0,648.0,882.0,,,648.0,1257.0,,,,
38,243,1901.0,243,275.0,663.0,2005.0,,,333,1071.0,663.0,654.0,,,663.0,1162.0,,,,
39,251,1354.0,251,1779.0,673.0,89.0,,,335,1681.0,673.0,541.0,,,673.0,439.0,,,,
40,259,1552.0,259,1423.0,680.0,1182.0,,,366,985.0,680.0,1899.0,,,680.0,495.0,,,,
41,260,1355.0,260,115.0,685.0,404.0,,,372,2020.0,685.0,2016.0,,,685.0,777.0,,,,
42,267,1972.0,267,900.0,689.0,775.0,,,407,1226.0,689.0,921.0,,,689.0,1103.0,,,,
43,269,1463.0,269,1725.0,732.0,2019.0,,,411,1107.0,732.0,696.0,,,732.0,677.0,,,,
44,270,886.0,270,12.0,747.0,1202.0,,,420,438.0,747.0,1243.0,,,747.0,937.0,,,,
45,285,2045.0,285,223.0,783.0,1519.0,,,429,325.0,783.0,470.0,,,783.0,626.0,,,,
46,290,221.0,290,1420.0,808.0,1123.0,,,433,369.0,808.0,305.0,,,808.0,746.0,,,,
47,291,279.0,291,832.0,818.0,1622.0,,,452,1301.0,818.0,913.0,,,818.0,909.0,,,,
48,292,1609.0,292,1286.0,838.0,889.0,,,463,1647.0,838.0,1681.0,,,838.0,910.0,,,,
49,295,1381.0,295,628.0,845.0,630.0,,,475,1791.0,845.0,1855.0,,,845.0,1461.0,,,,
50,297,1899.0,297,479.0,854.0,201.0,,,481,2000.0,854.0,1660.0,,,854.0,1339.0,,,,
51,299,708.0,299,1444.0,906.0,96.0,,,495,1089.0,906.0,1608.0,,,906.0,1550.0,,,,
52,300,432.0,300,1169.0,920.0,1947.0,,,498,1743.0,920.0,1069.0,,,920.0,1953.0,,,,
53,304,786.0,304,1060.0,951.0,981.0,,,525,527.0,951.0,515.0,,,951.0,1072.0,,,,
54,308,59.0,308,491.0,979.0,1161.0,,,545,2143.0,979.0,1033.0,,,979.0,191.0,,,,
55,310,413.0,310,1842.0,994.0,593.0,,,553,1638.0,994.0,961.0,,,994.0,566.0,,,,
56,312,1912.0,312,726.0,1022.0,2140.0,,,579,1501.0,1022.0,1939.0,,,1022.0,1694.0,,,,
57,317,311.0,317,870.0,1026.0,1137.0,,,592,520.0,1026.0,978.0,,,1026.0,1268.0,,,,
58,320,106.0,320,1258.0,1052.0,2035.0,,,595,541.0,1052.0,1454.0,,,1052.0,1571.0,,,,
59,360,172.0,360,1773.0,1065.0,299.0,,,599,560.0,1065.0,1638.0,,,1065.0,1570.0,,,,
60,362,428.0,362,800.0,1070.0,892.0,,,607,482.0,1070.0,1138.0,,,1070.0,1777.0,,,,
61,386,302.0,386,1076.0,1115.0,1896.0,,,615,1866.0,1115.0,181.0,,,1115.0,833.0,,,,
62,387,316.0,387,652.0,1133.0,1971.0,,,616,1972.0,1133.0,987.0,,,1133.0,623.0,,,,
63,394,1791.0,394,1396.0,1165.0,1120.0,,,620,1723.0,1165.0,1975.0,,,1165.0,440.0,,,,
64,396,1868.0,396,315.0,1175.0,1528.0,,,623,1830.0,1175.0,380.0,,,1175.0,143.0,,,,
65,401,1429.0,401,584.0,1177.0,1776.0,,,626,1149.0,1177.0,1862.0,,,1177.0,1079.0,,,,
66,403,822.0,403,564.0,1181.0,1136.0,,,628,1976.0,1181.0,1507.0,,,1181.0,188.0,,,,
67,404,1594.0,404,1307.0,1212.0,1698.0,,,636,484.0,1212.0,1216.0,,,1212.0,652.0,,,,
68,410,588.0,410,1644.0,1220.0,1203.0,,,645,1762.0,1220.0,1459.0,,,1220.0,1607.0,,,,
69,416,582.0,416,1222.0,1231.0,693.0,,,658,654.0,1231.0,1901.0,,,1231.0,904.0,,,,
70,421,1705.0,421,1886.0,1234.0,93.0,,,669,1518.0,1234.0,1107.0,,,1234.0,24.0,,,,
71,431,1089.0,431,793.0,1241.0,1786.0,,,677,2090.0,1241.0,1506.0,,,1241.0,756.0,,,,
72,444,587.0,444,80.0,1251.0,58.0,,,687,816.0,1251.0,44.0,,,1251.0,861.0,,,,
73,446,1943.0,446,1578.0,1259.0,1680.0,,,690,967.0,1259.0,1794.0,,,1259.0,1989.0,,,,
74,449,414.0,449,1595.0,1271.0,1527.0,,,703,1659.0,1271.0,1100.0,,,1271.0,375.0,,,,
75,453,1338.0,453,215.0,1367.0,1372.0,,,717,922.0,1367.0,1235.0,,,1367.0,2109.0,,,,
76,494,1884.0,494,2028.0,1399.0,1497.0,,,729,1388.0,1399.0,1656.0,,,1399.0,1482.0,,,,
77,497,1454.0,497,500.0,1428.0,826.0,,,730,864.0,1428.0,1429.0,,,1428.0,1817.0,,,,
78,509,1104.0,509,1796.0,1472.0,2015.0,,,746,181.0,1472.0,1705.0,,,1472.0,1875.0,,,,
79,517,720.0,517,612.0,1476.0,604.0,,,761,458.0,1476.0,587.0,,,1476.0,1763.0,,,,
80,530,899.0,530,249.0,1488.0,1264.0,,,766,1044.0,1488.0,779.0,,,1488.0,2074.0,,,,
81,535,976.0,535,940.0,1517.0,1721.0,,,769,1108.0,1517.0,1864.0,,,1517.0,11.0,,,,
82,539,2048.0,539,1470.0,1532.0,360.0,,,771,913.0,1532.0,1043.0,,,1532.0,183.0,,,,
83,544,834.0,544,687.0,1537.0,1580.0,,,820,760.0,1537.0,1381.0,,,1537.0,1820.0,,,,
84,549,147.0,549,1710.0,1591.0,1194.0,,,833,727.0,1591.0,2025.0,,,1591.0,1344.0,,,,
85,550,512.0,550,670.0,1621.0,919.0,,,844,1572.0,1621.0,1993.0,,,1621.0,1914.0,,,,
86,555,266.0,555,657.0,1653.0,778.0,,,853,1632.0,1653.0,2061.0,,,1653.0,881.0,,,,
87,574,1051.0,574,1907.0,1658.0,320.0,,,860,1740.0,1658.0,1503.0,,,1658.0,1077.0,,,,
88,577,157.0,577,1854.0,1666.0,449.0,,,861,925.0,1666.0,1762.0,,,1666.0,1928.0,,,,
89,578,768.0,578,24.0,1674.0,1932.0,,,866,1504.0,1674.0,708.0,,,1674.0,1325.0,,,,
90,583,110.0,583,1193.0,1684.0,855.0,,,905,101.0,1684.0,1233.0,,,1684.0,1038.0,,,,
91,593,1974.0,593,161.0,1688.0,410.0,,,911,733.0,1688.0,922.0,,,1688.0,1323.0,,,,
92,596,1592.0,596,202.0,1713.0,1575.0,,,917,998.0,1713.0,1156.0,,,1713.0,1500.0,,,,
93,604,1535.0,604,368.0,1717.0,403.0,,,937,241.0,1717.0,839.0,,,1717.0,63.0,,,,
94,617,1865.0,617,575.0,1727.0,970.0,,,938,668.0,1727.0,1364.0,,,1727.0,1595.0,,,,
95,630,2051.0,630,966.0,1737.0,1587.0,,,943,978.0,1737.0,2084.0,,,1737.0,975.0,,,,
96,649,2086.0,649,1119.0,1751.0,1011.0,,,947,1467.0,1751.0,967.0,,,1751.0,1643.0,,,,
97,655,92.0,655,1393.0,1765.0,198.0,,,949,144.0,1765.0,1359.0,,,1765.0,553.0,,,,
98,662,1249.0,662,1244.0,1772.0,1689.0,,,966,872.0,1772.0,68.0,,,1772.0,1551.0,,,,
99,666,1414.0,666,1460.0,1813.0,1163.0,,,968,1139.0,1813.0,1018.0,,,1813.0,2130.0,,,,
100,681,1641.0,681,847.0,1823.0,119.0,,,971,380.0,1823.0,563.0,,,1823.0,26.0,,,,
101,693,1148.0,693,1285.0,1852.0,1132.0,,,973,425.0,1852.0,187.0,,,1852.0,2032.0,,,,
102,704,156.0,704,661.0,1874.0,953.0,,,975,1905.0,1874.0,1204.0,,,1874.0,153.0,,,,
103,709,1179.0,709,1916.0,1898.0,773.0,,,984,1757.0,1898.0,760.0,,,1898.0,1549.0,,,,
104,718,1331.0,718,746.0,1908.0,2097.0,,,993,1051.0,1908.0,533.0,,,1908.0,1988.0,,,,
105,734,698.0,734,1342.0,1915.0,160.0,,,997,867.0,1915.0,1355.0,,,1915.0,1477.0,,,,
106,736,916.0,736,1456.0,1956.0,2.0,,,1001,2037.0,1956.0,637.0,,,1956.0,1409.0,,,,
107,742,94.0,742,566.0,1990.0,91.0,,,1012,852.0,1990.0,15.0,,,1990.0,739.0,,,,
108,745,1880.0,745,1432.0,1995.0,2137.0,,,1015,1829.0,1995.0,1999.0,,,1995.0,635.0,,,,
109,750,1840.0,750,1661.0,2009.0,1981.0,,,1023,279.0,2009.0,1387.0,,,2009.0,1198.0,,,,
110,773,72.0,773,1311.0,2052.0,2039.0,,,1029,848.0,2052.0,1438.0,,,2052.0,638.0,,,,
111,775,1027.0,775,1079.0,2069.0,1443.0,,,1031,2029.0,2069.0,110.0,,,2069.0,1487.0,,,,
112,778,1506.0,778,443.0,2072.0,1808.0,,,1040,1513.0,2072.0,1848.0,,,2072.0,971.0,,,,
113,787,2143.0,787,1102.0,2075.0,1590.0,,,1042,283.0,2075.0,1816.0,,,2075.0,700.0,,,,
114,797,402.0,797,233.0,2085.0,1446.0,,,1061,1792.0,2085.0,2136.0,,,2085.0,1383.0,,,,
115,798,727.0,798,1538.0,2106.0,1199.0,,,1079,533.0,2106.0,1254.0,,,2106.0,280.0,,,,
116,801,53.0,801,759.0,2121.0,1601.0,,,1087,1606.0,2121.0,1693.0,,,2121.0,1324.0,,,,
117,807,1627.0,807,1410.0,2142.0,2080.0,,,1119,770.0,2142.0,279.0,,,2142.0,1994.0,,,,
118,810,1207.0,810,200.0,1418.0,,,,1140,1402.0,614.0,,,,171.0,,,,,
119,811,713.0,811,2076.0,396.0,,,,1143,1980.0,65.0,,,,1748.0,,,,,
120,824,1795.0,824,1091.0,1882.0,,,,1150,1131.0,54.0,,,,1836.0,,,,,
121,826,1685.0,826,790.0,914.0,,,,1153,751.0,1673.0,,,,1997.0,,,,,
122,827,1611.0,827,626.0,1499.0,,,,1171,828.0,753.0,,,,162.0,,,,,
123,835,918.0,835,1960.0,2062.0,,,,1195,1318.0,111.0,,,,771.0,,,,,
124,843,1731.0,843,853.0,251.0,,,,1200,1565.0,1709.0,,,,1793.0,,,,,
125,855,1573.0,855,1494.0,50.0,,,,1219,561.0,85.0,,,,1230.0,,,,,
126,862,1174.0,862,938.0,1687.0,,,,1221,1562.0,998.0,,,,1432.0,,,,,
127,865,1520.0,865,217.0,1847.0,,,,1238,294.0,653.0,,,,706.0,,,,,
128,868,1005.0,868,502.0,1047.0,,,,1240,696.0,521.0,,,,73.0,,,,,
129,874,804.0,874,1025.0,865.0,,,,1244,1287.0,527.0,,,,1229.0,,,,,
130,880,1581.0,880,239.0,211.0,,,,1246,376.0,872.0,,,,866.0,,,,,
131,888,158.0,888,171.0,734.0,,,,1247,1913.0,209.0,,,,462.0,,,,,
132,889,294.0,889,873.0,1529.0,,,,1255,1400.0,1196.0,,,,126.0,,,,,
133,891,1818.0,891,1690.0,1759.0,,,,1257,268.0,178.0,,,,1907.0,,,,,
134,892,585.0,892,829.0,617.0,,,,1258,716.0,1757.0,,,,857.0,,,,,
135,893,1612.0,893,1117.0,173.0,,,,1260,563.0,257.0,,,,1798.0,,,,,
136,902,817.0,902,674.0,1124.0,,,,1274,768.0,1719.0,,,,64.0,,,,,
137,903,989.0,903,788.0,1152.0,,,,1290,950.0,1966.0,,,,366.0,,,,,
138,914,1081.0,914,2066.0,1837.0,,,,1293,711.0,1547.0,,,,1208.0,,,,,
139,919,1739.0,919,1098.0,231.0,,,,1311,147.0,1228.0,,,,759.0,,,,,
140,923,419.0,923,1197.0,214.0,,,,1316,229.0,802.0,,,,584.0,,,,,
141,928,1664.0,928,684.0,179.0,,,,1317,603.0,1784.0,,,,1222.0,,,,,
142,930,169.0,930,1542.0,1215.0,,,,1325,314.0,1667.0,,,,1055.0,,,,,
143,936,31.0,936,1037.0,1945.0,,,,1339,1667.0,329.0,,,,625.0,,,,,
144,939,242.0,939,594.0,992.0,,,,1345,121.0,547.0,,,,1211.0,,,,,
145,944,328.0,944,1425.0,291.0,,,,1356,128.0,1536.0,,,,1824.0,,,,,
146,953,990.0,953,615.0,1166.0,,,,1375,1775.0,692.0,,,,1610.0,,,,,
147,956,62.0,956,1964.0,1468.0,,,,1396,1281.0,678.0,,,,1965.0,,,,,
148,958,314.0,958,623.0,843.0,,,,1401,15.0,2090.0,,,,1247.0,,,,,
149,965,1709.0,965,272.0,944.0,,,,1407,1331.0,365.0,,,,405.0,,,,,
150,970,100.0,970,1846.0,681.0,,,,1419,156.0,1740.0,,,,615.0,,,,,
151,981,1368.0,981,752.0,1275.0,,,,1431,1041.0,314.0,,,,600.0,,,,,
152,992,286.0,992,1490.0,1474.0,,,,1444,642.0,1064.0,,,,318.0,,,,,
153,1000,0.0,1000,1087.0,1289.0,,,,1447,974.0,867.0,,,,1285.0,,,,,
154,1007,749.0,1007,434.0,1544.0,,,,1460,288.0,1918.0,,,,164.0,,,,,
155,1008,1701.0,1008,769.0,1277.0,,,,1471,634.0,882.0,,,,1257.0,,,,,
156,1011,1663.0,1011,212.0,2005.0,,,,1490,1704.0,654.0,,,,1162.0,,,,,
157,1030,1134.0,1030,2018.0,89.0,,,,1496,98.0,541.0,,,,439.0,,,,,
158,1034,1288.0,1034,927.0,1182.0,,,,1508,1156.0,1899.0,,,,495.0,,,,,
159,1035,2107.0,1035,1788.0,404.0,,,,1538,477.0,2016.0,,,,777.0,,,,,
160,1039,982.0,1039,1461.0,775.0,,,,1543,1564.0,921.0,,,,1103.0,,,,,
161,1047,991.0,1047,1211.0,2019.0,,,,1545,356.0,696.0,,,,677.0,,,,,
162,1050,1805.0,1050,1255.0,1202.0,,,,1546,885.0,1243.0,,,,937.0,,,,,
163,1053,1403.0,1053,1383.0,1519.0,,,,1568,1506.0,470.0,,,,626.0,,,,,
164,1062,969.0,1062,2054.0,1123.0,,,,1602,277.0,305.0,,,,746.0,,,,,
165,1075,1475.0,1075,1223.0,1622.0,,,,1616,451.0,913.0,,,,909.0,,,,,
166,1082,1105.0,1082,1314.0,889.0,,,,1643,2127.0,1681.0,,,,910.0,,,,,
167,1084,1913.0,1084,1902.0,630.0,,,,1648,1966.0,1855.0,,,,1461.0,,,,,
168,1085,1201.0,1085,1437.0,201.0,,,,1675,1368.0,1660.0,,,,1339.0,,,,,
169,1093,1557.0,1093,208.0,1947.0,,,,1694,1784.0,1608.0,,,,1550.0,,,,,
170,1097,723.0,1097,763.0,981.0,,,,1697,1329.0,1069.0,,,,1953.0,,,,,
171,1099,1598.0,1099,866.0,1161.0,,,,1703,455.0,515.0,,,,1072.0,,,,,
172,1106,1775.0,1106,1146.0,593.0,,,,1710,1699.0,1033.0,,,,191.0,,,,,
173,1116,882.0,1116,2122.0,2140.0,,,,1728,1864.0,961.0,,,,566.0,,,,,
174,1118,546.0,1118,660.0,1137.0,,,,1756,552.0,1939.0,,,,1694.0,,,,,
175,1120,1481.0,1120,339.0,2035.0,,,,1763,912.0,978.0,,,,1268.0,,,,,
176,1123,1771.0,1123,506.0,299.0,,,,1773,72.0,1454.0,,,,1571.0,,,,,
177,1124,254.0,1124,901.0,892.0,,,,1777,437.0,1638.0,,,,1570.0,,,,,
178,1128,1952.0,1128,1780.0,1896.0,,,,1779,154.0,1138.0,,,,1777.0,,,,,
179,1132,484.0,1132,731.0,1971.0,,,,1783,513.0,181.0,,,,833.0,,,,,
180,1136,1003.0,1136,1143.0,1120.0,,,,1820,1343.0,987.0,,,,623.0,,,,,
181,1137,603.0,1137,1317.0,1528.0,,,,1832,1465.0,1975.0,,,,440.0,,,,,
182,1145,1245.0,1145,682.0,1776.0,,,,1839,1475.0,380.0,,,,143.0,,,,,
183,1152,1944.0,1152,1845.0,1136.0,,,,1846,363.0,1862.0,,,,1079.0,,,,,
184,1161,2004.0,1161,83.0,1698.0,,,,1875,1216.0,1507.0,,,,188.0,,,,,
185,1163,2113.0,1163,493.0,1203.0,,,,1933,921.0,1216.0,,,,652.0,,,,,
186,1166,1922.0,1166,1063.0,693.0,,,,1959,1164.0,1459.0,,,,1607.0,,,,,
187,1182,1927.0,1182,2098.0,93.0,,,,1965,1709.0,1901.0,,,,904.0,,,,,
188,1184,1388.0,1184,1987.0,1786.0,,,,1969,883.0,1107.0,,,,24.0,,,,,
189,1192,1655.0,1192,993.0,58.0,,,,1977,526.0,1506.0,,,,756.0,,,,,
190,1194,137.0,1194,887.0,1680.0,,,,1983,88.0,44.0,,,,861.0,,,,,
191,1199,111.0,1199,895.0,1527.0,,,,1987,436.0,1794.0,,,,1989.0,,,,,
192,1202,1671.0,1202,262.0,1372.0,,,,1988,1774.0,1100.0,,,,375.0,,,,,
193,1203,1866.0,1203,1605.0,1497.0,,,,2008,515.0,1235.0,,,,2109.0,,,,,
194,1210,77.0,1210,420.0,826.0,,,,2034,890.0,1656.0,,,,1482.0,,,,,
195,1213,1676.0,1213,1978.0,2015.0,,,,2058,694.0,1429.0,,,,1817.0,,,,,
196,1215,338.0,1215,907.0,604.0,,,,2082,1503.0,1705.0,,,,1875.0,,,,,
197,1218,813.0,1218,1274.0,1264.0,,,,2087,580.0,587.0,,,,1763.0,,,,,
198,1232,521.0,1232,607.0,1721.0,,,,2098,344.0,779.0,,,,2074.0,,,,,
199,1250,1769.0,1250,764.0,360.0,,,,2130,531.0,1864.0,,,,11.0,,,,,
200,1252,1139.0,1252,592.0,1580.0,,,,2131,1719.0,1043.0,,,,183.0,,,,,
201,1262,524.0,1262,1384.0,1194.0,,,,2134,659.0,1381.0,,,,1820.0,,,,,
202,1263,369.0,1263,1495.0,919.0,,,,6,898.0,2025.0,,,,1344.0,,,,,
203,1264,142.0,1264,1755.0,778.0,,,,7,1868.0,1993.0,,,,1914.0,,,,,
204,1265,1479.0,1265,1272.0,320.0,,,,9,1656.0,2061.0,,,,881.0,,,,,
205,1275,418.0,1275,1610.0,449.0,,,,11,589.0,1503.0,,,,1077.0,,,,,
206,1277,733.0,1277,1798.0,1932.0,,,,12,338.0,1762.0,,,,1928.0,,,,,
207,1289,42.0,1289,1045.0,855.0,,,,17,1634.0,708.0,,,,1325.0,,,,,
208,1292,1466.0,1292,757.0,410.0,,,,20,2027.0,1233.0,,,,1038.0,,,,,
209,1310,1606.0,1310,1356.0,1575.0,,,,21,1794.0,922.0,,,,1323.0,,,,,
210,1312,1810.0,1312,435.0,403.0,,,,26,169.0,1156.0,,,,1500.0,,,,,
211,1326,182.0,1326,952.0,970.0,,,,30,1254.0,839.0,,,,63.0,,,,,
212,1327,393.0,1327,1419.0,1587.0,,,,32,588.0,1364.0,,,,1595.0,,,,,
213,1332,44.0,1332,2021.0,1011.0,,,,33,1187.0,2084.0,,,,975.0,,,,,
214,1346,87.0,1346,632.0,198.0,,,,34,57.0,967.0,,,,1643.0,,,,,
215,1347,707.0,1347,2011.0,1689.0,,,,35,960.0,1359.0,,,,553.0,,,,,
216,1349,306.0,1349,33.0,1163.0,,,,36,1507.0,68.0,,,,1551.0,,,,,
217,1352,1227.0,1352,739.0,119.0,,,,46,209.0,1018.0,,,,2130.0,,,,,
218,1353,1667.0,1353,1001.0,1132.0,,,,48,1205.0,563.0,,,,26.0,,,,,
219,1361,1237.0,1361,1253.0,953.0,,,,49,492.0,187.0,,,,2032.0,,,,,
220,1362,547.0,1362,2104.0,773.0,,,,52,609.0,1204.0,,,,153.0,,,,,
221,1371,1359.0,1371,2012.0,2097.0,,,,63,305.0,760.0,,,,1549.0,,,,,
222,1372,1657.0,1372,911.0,160.0,,,,64,85.0,533.0,,,,1988.0,,,,,
223,1373,967.0,1373,1080.0,2.0,,,,73,1646.0,1355.0,,,,1477.0,,,,,
