,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,720.0,2,1024.0,66.0,2140.0,370.0,1721.0,8,1516.0,66.0,552.0,370.0,1127.0,66.0,1222.0,370.0,483.0,370.0,1537.0
1,5,1338.0,5,1618.0,69.0,630.0,385.0,1687.0,16,708.0,69.0,1647.0,385.0,1351.0,69.0,80.0,385.0,881.0,385.0,1367.0
2,14,1923.0,14,2133.0,84.0,662.0,399.0,1945.0,24,560.0,84.0,1905.0,399.0,941.0,84.0,1206.0,399.0,1571.0,399.0,234.0
3,22,1775.0,22,763.0,99.0,1759.0,448.0,1118.0,38,1360.0,99.0,978.0,448.0,1191.0,99.0,1707.0,448.0,522.0,448.0,1241.0
4,40,230.0,40,2021.0,122.0,1215.0,454.0,1847.0,55,1440.0,122.0,922.0,454.0,1239.0,122.0,623.0,454.0,2105.0,454.0,1823.0
5,41,313.0,41,1375.0,125.0,1213.0,722.0,1807.0,60,325.0,125.0,2091.0,722.0,1256.0,125.0,687.0,722.0,601.0,722.0,689.0
6,43,1333.0,43,940.0,140.0,1526.0,772.0,1152.0,79,283.0,140.0,571.0,772.0,962.0,140.0,997.0,772.0,2032.0,772.0,347.0
7,45,1086.0,45,1013.0,148.0,1085.0,796.0,1759.0,80,1374.0,148.0,1187.0,796.0,1330.0,148.0,1977.0,796.0,674.0,796.0,1472.0
8,50,1139.0,50,863.0,176.0,944.0,1054.0,1973.0,83,1954.0,176.0,107.0,1054.0,1122.0,176.0,2109.0,1054.0,690.0,1054.0,663.0
9,58,785.0,58,1911.0,193.0,1361.0,1058.0,1499.0,95,1256.0,193.0,1466.0,1058.0,543.0,193.0,2054.0,1058.0,228.0,1058.0,1772.0
10,67,961.0,67,632.0,197.0,2039.0,1406.0,914.0,116,1457.0,197.0,1142.0,1406.0,1282.0,197.0,150.0,1406.0,1010.0,1406.0,808.0
11,74,1757.0,74,814.0,234.0,173.0,1485.0,1468.0,126,1862.0,234.0,924.0,1485.0,922.0,234.0,1691.0,1485.0,1217.0,1485.0,1688.0
12,89,1017.0,89,164.0,245.0,320.0,1589.0,992.0,143,100.0,245.0,144.0,1589.0,1147.0,245.0,861.0,1589.0,384.0,1589.0,920.0
13,91,186.0,91,1117.0,274.0,198.0,1600.0,1215.0,155,1134.0,274.0,1645.0,1600.0,101.0,274.0,223.0,1600.0,947.0,1600.0,1517.0
14,93,1306.0,93,1444.0,334.0,494.0,1721.0,,162,1318.0,334.0,1126.0,1127.0,,334.0,599.0,483.0,,1537.0,
