,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,1922.0,2,1211.0,66.0,1776.0,370.0,914.0,8,2113.0,66.0,1582.0,370.0,402.0,66.0,853.0,370.0,671.0,370.0,1026.0
1,5,229.0,5,411.0,69.0,211.0,385.0,201.0,16,1144.0,69.0,1950.0,385.0,1351.0,69.0,83.0,385.0,1555.0,385.0,1367.0
2,14,2050.0,14,731.0,84.0,1622.0,399.0,1945.0,24,934.0,84.0,1812.0,399.0,1239.0,84.0,465.0,399.0,483.0,399.0,347.0
3,22,749.0,22,1886.0,99.0,1759.0,448.0,1766.0,38,1909.0,99.0,740.0,448.0,1954.0,99.0,405.0,448.0,60.0,448.0,427.0
4,40,1190.0,40,1121.0,122.0,1945.0,454.0,1847.0,55,547.0,122.0,922.0,454.0,941.0,122.0,1777.0,454.0,2105.0,454.0,1052.0
5,41,141.0,41,1341.0,125.0,824.0,722.0,304.0,60,325.0,125.0,1637.0,722.0,871.0,125.0,938.0,722.0,1633.0,722.0,409.0
6,43,1705.0,43,940.0,140.0,119.0,772.0,1124.0,79,2061.0,140.0,1840.0,772.0,1784.0,140.0,1444.0,772.0,2034.0,772.0,663.0
7,45,1855.0,45,1419.0,148.0,444.0,796.0,1544.0,80,400.0,148.0,1089.0,796.0,2025.0,148.0,611.0,796.0,450.0,796.0,732.0
8,50,1818.0,50,1764.0,176.0,944.0,1054.0,2015.0,83,879.0,176.0,107.0,1054.0,331.0,176.0,1230.0,1054.0,1358.0,1054.0,1713.0
9,58,743.0,58,506.0,193.0,74.0,1058.0,1499.0,95,1581.0,193.0,1224.0,1058.0,1939.0,193.0,900.0,1058.0,1883.0,1058.0,1688.0
10,67,961.0,67,491.0,197.0,2046.0,1406.0,1721.0,116,1719.0,197.0,110.0,1406.0,1343.0,197.0,2105.0,1406.0,1779.0,1406.0,1772.0
11,74,2020.0,74,1576.0,234.0,1194.0,1485.0,1468.0,126,1647.0,234.0,1457.0,1485.0,563.0,234.0,1534.0,1485.0,1570.0,1485.0,808.0
12,89,1734.0,89,2074.0,245.0,1825.0,1589.0,992.0,143,323.0,245.0,221.0,1589.0,1147.0,245.0,1344.0,1589.0,384.0,1589.0,920.0
13,91,71.0,91,30.0,274.0,1418.0,1600.0,1215.0,155,62.0,274.0,603.0,1600.0,2090.0,274.0,1311.0,1600.0,164.0,1600.0,1823.0
14,93,1620.0,93,706.0,334.0,1747.0,914.0,,162,1016.0,334.0,1414.0,402.0,,334.0,763.0,671.0,,1026.0,
15,96,1196.0,96,426.0,336.0,593.0,201.0,,165,552.0,336.0,1501.0,1351.0,,336.0,1890.0,1555.0,,1367.0,
