,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,512.0,2,1432.0,66.0,1580.0,370.0,593.0,8,361.0,66.0,196.0,370.0,941.0,66.0,781.0,370.0,1846.0,370.0,1537.0
1,5,1894.0,5,940.0,69.0,1680.0,385.0,1499.0,16,1645.0,69.0,1611.0,385.0,515.0,69.0,20.0,385.0,1545.0,385.0,920.0
2,14,1242.0,14,372.0,84.0,1544.0,399.0,1468.0,24,840.0,84.0,974.0,399.0,527.0,84.0,1072.0,399.0,405.0,399.0,994.0
3,22,1359.0,22,1960.0,99.0,914.0,448.0,1991.0,38,124.0,99.0,1673.0,448.0,897.0,99.0,1020.0,448.0,1842.0,448.0,1990.0
4,40,1081.0,40,1037.0,122.0,1499.0,454.0,1945.0,55,831.0,122.0,1228.0,454.0,2126.0,122.0,440.0,454.0,2105.0,454.0,1052.0
5,41,899.0,41,1558.0,125.0,1613.0,722.0,1030.0,60,166.0,125.0,1402.0,722.0,614.0,125.0,887.0,722.0,1238.0,722.0,838.0
6,43,840.0,43,1456.0,140.0,1145.0,772.0,1152.0,79,1125.0,140.0,1791.0,772.0,1503.0,140.0,406.0,772.0,738.0,772.0,122.0
7,45,42.0,45,1886.0,148.0,1163.0,796.0,1011.0,80,455.0,148.0,816.0,796.0,882.0,148.0,63.0,796.0,1114.0,796.0,508.0
8,50,1734.0,50,1907.0,176.0,617.0,1054.0,914.0,83,642.0,176.0,322.0,1054.0,1009.0,176.0,615.0,1054.0,63.0,1054.0,1165.0
9,58,964.0,58,491.0,193.0,2140.0,1058.0,1847.0,95,102.0,193.0,1787.0,1058.0,1999.0,193.0,674.0,1058.0,280.0,1058.0,1428.0
10,67,1235.0,67,2028.0,197.0,1085.0,1406.0,1687.0,116,1242.0,197.0,1774.0,1406.0,353.0,197.0,777.0,1406.0,1814.0,1406.0,1717.0
11,74,374.0,74,607.0,234.0,173.0,1485.0,2005.0,126,1704.0,234.0,1554.0,1485.0,2000.0,234.0,995.0,1485.0,495.0,1485.0,1852.0
12,89,513.0,89,1842.0,245.0,604.0,1589.0,214.0,143,1248.0,245.0,1329.0,1589.0,1331.0,245.0,1548.0,1589.0,1453.0,1589.0,663.0
13,91,1108.0,91,210.0,274.0,889.0,1600.0,775.0,155,1712.0,274.0,31.0,1600.0,101.0,274.0,999.0,1600.0,1959.0,1600.0,1517.0
14,93,1608.0,93,1342.0,334.0,1203.0,593.0,,162,879.0,334.0,1812.0,941.0,,334.0,1539.0,1846.0,,1537.0,
15,96,1636.0,96,481.0,336.0,843.0,1499.0,,165,527.0,336.0,68.0,515.0,,336.0,1595.0,1545.0,,920.0,
16,105,306.0,105,566.0,345.0,179.0,1468.0,,167,954.0,345.0,1700.0,527.0,,345.0,2139.0,405.0,,994.0,
17,114,1174.0,114,1703.0,347.0,1152.0,1991.0,,170,2126.0,347.0,987.0,897.0,,347.0,1551.0,1842.0,,1990.0,
18,118,1083.0,118,1821.0,350.0,1124.0,1945.0,,183,1862.0,350.0,913.0,2126.0,,350.0,1146.0,2105.0,,1052.0,
19,119,1333.0,119,2122.0,357.0,681.0,1030.0,,188,1233.0,357.0,1397.0,614.0,,357.0,162.0,1238.0,,838.0,
20,123,1685.0,123,907.0,388.0,1947.0,1152.0,,191,88.0,388.0,1282.0,1503.0,,388.0,210.0,738.0,,122.0,
21,131,918.0,131,233.0,409.0,775.0,1011.0,,199,1382.0,409.0,961.0,882.0,,409.0,1820.0,1114.0,,508.0,
22,160,1851.0,160,1764.0,415.0,1132.0,914.0,,205,2090.0,415.0,1999.0,1009.0,,415.0,1302.0,63.0,,1165.0,
23,173,1867.0,173,2008.0,427.0,2019.0,1847.0,,208,364.0,427.0,1235.0,1999.0,,427.0,1651.0,280.0,,1428.0,
24,174,1943.0,174,1633.0,459.0,865.0,1687.0,,212,946.0,459.0,740.0,353.0,,459.0,1694.0,1814.0,,1717.0,
25,179,196.0,179,836.0,474.0,1215.0,2005.0,,223,13.0,474.0,2090.0,2000.0,,474.0,566.0,495.0,,1852.0,
26,198,585.0,198,442.0,480.0,593.0,214.0,,224,858.0,480.0,1510.0,1331.0,,480.0,463.0,1453.0,,663.0,
27,201,688.0,201,1074.0,488.0,231.0,775.0,,225,1535.0,488.0,166.0,101.0,,488.0,1863.0,1959.0,,1517.0,
28,203,737.0,203,1286.0,508.0,1346.0,,,226,279.0,508.0,1033.0,,,508.0,1610.0,,,,
29,206,1104.0,206,1785.0,516.0,1945.0,,,233,1333.0,516.0,954.0,,,516.0,1994.0,,,,
30,207,831.0,207,2011.0,518.0,1468.0,,,237,178.0,518.0,1638.0,,,518.0,1953.0,,,,
31,211,102.0,211,1644.0,548.0,291.0,,,238,515.0,548.0,329.0,,,548.0,143.0,,,,
32,214,1225.0,214,777.0,567.0,1759.0,,,239,344.0,567.0,1364.0,,,567.0,1432.0,,,,
33,219,1248.0,219,1055.0,568.0,1575.0,,,247,659.0,568.0,2059.0,,,568.0,815.0,,,,
34,220,890.0,220,534.0,633.0,1353.0,,,253,1188.0,633.0,1625.0,,,633.0,1405.0,,,,
35,231,356.0,231,324.0,639.0,1497.0,,,275,1849.0,639.0,10.0,,,639.0,1571.0,,,,
36,232,614.0,232,1420.0,646.0,201.0,,,296,1736.0,646.0,753.0,,,646.0,625.0,,,,
37,240,560.0,240,832.0,648.0,404.0,,,326,1660.0,648.0,2101.0,,,648.0,671.0,,,,
38,243,723.0,243,11.0,663.0,734.0,,,333,101.0,663.0,15.0,,,663.0,1988.0,,,,
39,251,395.0,251,1548.0,673.0,1529.0,,,335,1156.0,673.0,1946.0,,,673.0,1960.0,,,,
40,259,969.0,259,249.0,680.0,1412.0,,,366,1564.0,680.0,724.0,,,680.0,1989.0,,,,
41,260,1172.0,260,536.0,685.0,58.0,,,372,711.0,685.0,1359.0,,,685.0,151.0,,,,
42,267,1351.0,267,1272.0,689.0,981.0,,,407,875.0,689.0,44.0,,,689.0,1198.0,,,,
43,269,0.0,269,1725.0,732.0,131.0,,,411,1279.0,732.0,1334.0,,,732.0,1260.0,,,,
44,270,1417.0,270,1076.0,747.0,811.0,,,420,507.0,747.0,946.0,,,747.0,1300.0,,,,
45,285,436.0,285,592.0,783.0,89.0,,,429,129.0,783.0,978.0,,,783.0,1285.0,,,,
46,290,1280.0,290,1013.0,808.0,1882.0,,,433,209.0,808.0,1918.0,,,808.0,746.0,,,,
47,291,1771.0,291,1146.0,818.0,944.0,,,452,1954.0,818.0,470.0,,,818.0,1038.0,,,,
48,292,613.0,292,763.0,838.0,1622.0,,,463,15.0,838.0,1100.0,,,838.0,439.0,,,,
49,295,1583.0,295,272.0,845.0,251.0,,,475,1422.0,845.0,422.0,,,845.0,2109.0,,,,
50,297,31.0,297,502.0,854.0,1120.0,,,481,1719.0,854.0,803.0,,,854.0,968.0,,,,
51,299,795.0,299,379.0,906.0,449.0,,,495,532.0,906.0,1829.0,,,906.0,247.0,,,,
52,300,2138.0,300,1421.0,920.0,1123.0,,,498,1368.0,920.0,1939.0,,,920.0,11.0,,,,
53,304,1671.0,304,1060.0,951.0,2005.0,,,525,325.0,951.0,305.0,,,951.0,540.0,,,,
54,308,422.0,308,1435.0,979.0,1137.0,,,545,18.0,979.0,875.0,,,979.0,1758.0,,,,
55,310,1036.0,310,153.0,994.0,1687.0,,,553,884.0,994.0,1719.0,,,994.0,623.0,,,,
56,312,507.0,312,479.0,1022.0,1837.0,,,579,822.0,1022.0,108.0,,,1022.0,1324.0,,,,
57,317,676.0,317,1211.0,1026.0,1275.0,,,592,313.0,1026.0,1667.0,,,1026.0,1951.0,,,,
58,320,464.0,320,776.0,1052.0,1277.0,,,595,753.0,1052.0,1138.0,,,1052.0,1365.0,,,,
59,360,510.0,360,788.0,1065.0,396.0,,,599,1581.0,1065.0,1457.0,,,1065.0,700.0,,,,
60,362,182.0,362,800.0,1070.0,1776.0,,,607,1513.0,1070.0,365.0,,,1070.0,1777.0,,,,
61,386,369.0,386,1521.0,1115.0,892.0,,,615,915.0,1115.0,1957.0,,,1115.0,1344.0,,,,
62,387,367.0,387,717.0,1133.0,1182.0,,,616,691.0,1133.0,380.0,,,1133.0,1247.0,,,,
