,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,1818.0,2,1091.0,66.0,1123.0,370.0,1519.0,8,1343.0,66.0,1041.0,370.0,1282.0,66.0,777.0,370.0,1014.0,370.0,84.0
1,5,587.0,5,534.0,69.0,179.0,385.0,1497.0,16,1594.0,69.0,97.0,385.0,541.0,69.0,349.0,385.0,26.0,385.0,459.0
2,14,622.0,14,2024.0,84.0,826.0,399.0,1468.0,24,840.0,84.0,1775.0,399.0,1348.0,84.0,1605.0,399.0,2058.0,399.0,1517.0
3,22,1889.0,22,682.0,99.0,1759.0,448.0,1163.0,38,477.0,99.0,101.0,448.0,31.0,99.0,1206.0,448.0,938.0,448.0,783.0
4,40,2073.0,40,1960.0,122.0,892.0,454.0,1152.0,55,728.0,122.0,533.0,454.0,2126.0,122.0,1502.0,454.0,2118.0,454.0,1052.0
5,41,2060.0,41,1356.0,125.0,1799.0,722.0,1446.0,60,1359.0,125.0,1603.0,722.0,71.0,125.0,594.0,722.0,764.0,722.0,1241.0
6,43,989.0,43,1661.0,140.0,1474.0,772.0,1945.0,79,1196.0,140.0,585.0,772.0,2090.0,140.0,1238.0,772.0,258.0,772.0,1684.0
7,45,1005.0,45,938.0,148.0,970.0,796.0,1721.0,80,1155.0,148.0,1627.0,796.0,883.0,148.0,1549.0,796.0,671.0,796.0,2121.0
8,50,337.0,50,610.0,176.0,2140.0,1054.0,1203.0,83,265.0,176.0,257.0,1054.0,1069.0,176.0,909.0,1054.0,1607.0,1054.0,388.0
9,58,708.0,58,1803.0,193.0,1264.0,1058.0,1124.0,95,281.0,193.0,1905.0,1058.0,563.0,193.0,850.0,1058.0,1077.0,1058.0,1165.0
10,67,1999.0,67,638.0,197.0,1210.0,1406.0,404.0,116,273.0,197.0,1860.0,1406.0,1127.0,197.0,1055.0,1406.0,465.0,1406.0,1220.0
11,74,1503.0,74,1441.0,234.0,2005.0,1485.0,892.0,126,515.0,234.0,1397.0,1485.0,846.0,234.0,2077.0,1485.0,1872.0,1485.0,336.0
12,89,90.0,89,927.0,245.0,2046.0,1589.0,2005.0,143,307.0,245.0,87.0,1589.0,656.0,245.0,275.0,1589.0,460.0,1589.0,357.0
13,91,948.0,91,863.0,274.0,1896.0,1600.0,1499.0,155,656.0,274.0,1855.0,1600.0,15.0,274.0,2074.0,1600.0,1839.0,1600.0,1026.0
14,93,2135.0,93,1777.0,334.0,160.0,1519.0,,162,1147.0,334.0,1634.0,1282.0,,334.0,258.0,1014.0,,84.0,
15,96,287.0,96,215.0,336.0,630.0,1497.0,,165,314.0,336.0,1656.0,541.0,,336.0,1268.0,26.0,,459.0,
16,105,751.0,105,1244.0,345.0,1418.0,1468.0,,167,654.0,345.0,1952.0,1348.0,,345.0,351.0,2058.0,,1517.0,
17,114,1556.0,114,12.0,347.0,1945.0,1163.0,,170,209.0,347.0,322.0,31.0,,347.0,1777.0,938.0,,783.0,
18,118,344.0,118,21.0,350.0,1152.0,1152.0,,183,753.0,350.0,1235.0,2126.0,,350.0,280.0,2118.0,,1052.0,
19,119,329.0,119,1877.0,357.0,1882.0,1446.0,,188,885.0,357.0,129.0,71.0,,357.0,465.0,764.0,,1241.0,
20,123,1334.0,123,2008.0,388.0,1971.0,1945.0,,191,1950.0,388.0,1032.0,2090.0,,388.0,537.0,258.0,,1684.0,
21,131,694.0,131,1358.0,409.0,1499.0,1721.0,,199,88.0,409.0,1506.0,883.0,,409.0,1928.0,671.0,,2121.0,
22,160,133.0,160,1029.0,415.0,290.0,1203.0,,205,1205.0,415.0,159.0,1069.0,,415.0,1458.0,1607.0,,388.0,
23,173,1841.0,173,1404.0,427.0,1497.0,1124.0,,208,1354.0,427.0,100.0,563.0,,427.0,1856.0,1077.0,,1165.0,
24,174,624.0,174,171.0,459.0,1124.0,404.0,,212,1833.0,459.0,15.0,1127.0,,459.0,746.0,465.0,,1220.0,
25,179,1385.0,179,910.0,474.0,1468.0,892.0,,223,609.0,474.0,527.0,846.0,,474.0,623.0,1872.0,,336.0,
26,198,129.0,198,426.0,480.0,1275.0,2005.0,,224,1889.0,480.0,803.0,656.0,,480.0,748.0,460.0,,357.0,
27,201,1459.0,201,1783.0,488.0,1443.0,1499.0,,225,1507.0,488.0,603.0,15.0,,488.0,1469.0,1839.0,,1026.0,
28,203,1552.0,203,80.0,508.0,1202.0,,,226,692.0,508.0,1107.0,,,508.0,820.0,,,,
29,206,1002.0,206,435.0,516.0,1215.0,,,233,1716.0,516.0,185.0,,,516.0,16.0,,,,
30,207,1750.0,207,225.0,518.0,214.0,,,237,770.0,518.0,696.0,,,518.0,759.0,,,,
31,211,1122.0,211,605.0,548.0,617.0,,,238,883.0,548.0,1381.0,,,548.0,625.0,,,,
32,214,1018.0,214,1240.0,567.0,201.0,,,239,1248.0,567.0,1503.0,,,567.0,335.0,,,,
33,219,235.0,219,1845.0,568.0,1203.0,,,247,1331.0,568.0,135.0,,,568.0,223.0,,,,
34,220,950.0,220,1460.0,633.0,1613.0,,,253,1149.0,633.0,331.0,,,633.0,301.0,,,,
35,231,921.0,231,857.0,639.0,58.0,,,275,1974.0,639.0,142.0,,,639.0,162.0,,,,
36,232,538.0,232,1169.0,646.0,865.0,,,296,381.0,646.0,1918.0,,,646.0,1247.0,,,,
37,240,1520.0,240,1907.0,648.0,981.0,,,326,707.0,648.0,305.0,,,648.0,205.0,,,,
38,243,1227.0,243,1773.0,663.0,404.0,,,333,913.0,663.0,825.0,,,663.0,26.0,,,,
39,251,2110.0,251,1483.0,673.0,1580.0,,,335,760.0,673.0,913.0,,,673.0,199.0,,,,
40,259,457.0,259,1558.0,680.0,91.0,,,366,356.0,680.0,1884.0,,,680.0,445.0,,,,
41,260,955.0,260,83.0,685.0,1687.0,,,372,795.0,685.0,279.0,,,685.0,192.0,,,,
42,267,441.0,267,545.0,689.0,1085.0,,,407,1096.0,689.0,289.0,,,689.0,1198.0,,,,
43,269,1057.0,269,479.0,732.0,544.0,,,411,1561.0,732.0,139.0,,,732.0,616.0,,,,
44,270,92.0,270,687.0,747.0,295.0,,,420,1791.0,747.0,229.0,,,747.0,1697.0,,,,
45,285,371.0,285,1420.0,783.0,173.0,,,429,322.0,783.0,1667.0,,,783.0,171.0,,,,
46,290,1422.0,290,1902.0,808.0,1847.0,,,433,1386.0,808.0,2090.0,,,808.0,1953.0,,,,
47,291,373.0,291,443.0,818.0,211.0,,,452,1673.0,818.0,678.0,,,818.0,1260.0,,,,
48,292,62.0,292,1087.0,838.0,1947.0,,,463,1762.0,838.0,1334.0,,,838.0,559.0,,,,
49,295,725.0,295,993.0,845.0,1903.0,,,475,1190.0,845.0,1086.0,,,845.0,932.0,,,,
50,297,31.0,297,1031.0,854.0,1528.0,,,481,1397.0,854.0,277.0,,,854.0,1863.0,,,,
51,299,565.0,299,163.0,906.0,1837.0,,,495,2132.0,906.0,733.0,,,906.0,248.0,,,,
52,300,1481.0,300,262.0,920.0,944.0,,,498,1071.0,920.0,314.0,,,920.0,1461.0,,,,
53,304,918.0,304,1521.0,951.0,734.0,,,525,1144.0,951.0,196.0,,,951.0,861.0,,,,
54,308,1033.0,308,2028.0,979.0,93.0,,,545,1671.0,979.0,1940.0,,,979.0,1782.0,,,,
55,310,598.0,310,615.0,994.0,914.0,,,553,1649.0,994.0,1228.0,,,994.0,1872.0,,,,
56,312,1174.0,312,1703.0,1022.0,775.0,,,579,1640.0,1022.0,329.0,,,1022.0,566.0,,,,
57,317,2115.0,317,1013.0,1026.0,1161.0,,,592,647.0,1026.0,1704.0,,,1026.0,1500.0,,,,
58,320,98.0,320,284.0,1052.0,1575.0,,,595,2073.0,1052.0,178.0,,,1052.0,626.0,,,,
59,360,1525.0,360,661.0,1065.0,843.0,,,599,705.0,1065.0,1331.0,,,1065.0,1728.0,,,,
