,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,918.0,2,11.0,66.0,1123.0,370.0,593.0,8,1069.0,66.0,1952.0,370.0,678.0,66.0,1458.0,370.0,887.0,370.0,1995.0
1,5,1357.0,5,757.0,69.0,1519.0,385.0,1776.0,16,828.0,69.0,1594.0,385.0,1506.0,69.0,1019.0,385.0,1325.0,385.0,2009.0
2,14,1986.0,14,1461.0,84.0,2080.0,399.0,1468.0,24,2083.0,84.0,289.0,399.0,1348.0,84.0,700.0,399.0,467.0,399.0,1517.0
3,22,1160.0,22,849.0,99.0,892.0,448.0,14.0,38,57.0,99.0,101.0,448.0,1298.0,99.0,1907.0,448.0,626.0,448.0,1231.0
4,40,2124.0,40,1702.0,122.0,1759.0,454.0,1152.0,55,1095.0,122.0,353.0,454.0,2126.0,122.0,1925.0,454.0,2118.0,454.0,1165.0
5,41,520.0,41,1031.0,125.0,1587.0,722.0,1932.0,60,716.0,125.0,1003.0,722.0,59.0,125.0,769.0,722.0,1117.0,722.0,1241.0
6,43,342.0,43,632.0,140.0,1797.0,772.0,404.0,79,1757.0,140.0,102.0,772.0,1719.0,140.0,1820.0,772.0,1246.0,772.0,1052.0
7,45,817.0,45,1456.0,148.0,2123.0,796.0,231.0,80,1021.0,148.0,111.0,796.0,753.0,148.0,296.0,796.0,1141.0,796.0,1115.0
8,50,346.0,50,1258.0,176.0,2140.0,1054.0,1194.0,83,962.0,176.0,974.0,1054.0,1881.0,176.0,1423.0,1054.0,700.0,1054.0,920.0
9,58,1884.0,58,1748.0,193.0,2015.0,1058.0,1124.0,95,1627.0,193.0,236.0,1058.0,2016.0,193.0,896.0,1058.0,1570.0,1058.0,1684.0
10,67,367.0,67,355.0,197.0,1878.0,1406.0,1499.0,116,343.0,197.0,614.0,1406.0,1699.0,197.0,1610.0,1406.0,1691.0,1406.0,567.0
