,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
0,2,1180.0,2,500.0,66.0,889.0,370.0,1847.0,8,1100.0,66.0,338.0,370.0,543.0,66.0,605.0,370.0,1453.0,370.0,459.0
1,5,879.0,5,1595.0,69.0,1847.0,385.0,1152.0,16,1486.0,69.0,1144.0,385.0,679.0,69.0,2054.0,385.0,1080.0,385.0,920.0
2,14,1974.0,14,1578.0,84.0,1759.0,399.0,1468.0,24,1139.0,84.0,264.0,399.0,1784.0,84.0,1820.0,399.0,1365.0,399.0,336.0
3,22,1095.0,22,1419.0,99.0,914.0,448.0,2035.0,38,190.0,99.0,1667.0,448.0,277.0,99.0,700.0,448.0,1042.0,448.0,1517.0
4,40,1927.0,40,1169.0,122.0,1499.0,454.0,1945.0,55,1730.0,122.0,1719.0,454.0,2126.0,122.0,584.0,454.0,2105.0,454.0,1813.0
5,41,1554.0,41,2018.0,125.0,446.0,722.0,1443.0,60,613.0,125.0,1535.0,722.0,2081.0,125.0,1555.0,722.0,1558.0,722.0,1231.0
6,43,654.0,43,657.0,140.0,2119.0,772.0,914.0,79,978.0,140.0,1627.0,772.0,1704.0,140.0,1311.0,772.0,1247.0,772.0,1165.0
7,45,1403.0,45,1286.0,148.0,119.0,796.0,1580.0,80,876.0,148.0,1269.0,796.0,65.0,148.0,1628.0,796.0,1482.0,796.0,689.0
8,50,701.0,50,661.0,176.0,404.0,1054.0,1499.0,83,1660.0,176.0,1632.0,1054.0,15.0,176.0,1302.0,1054.0,1694.0,1054.0,122.0
9,58,963.0,58,1824.0,193.0,2035.0,1058.0,2005.0,95,698.0,193.0,1160.0,1058.0,527.0,193.0,1049.0,1058.0,833.0,1058.0,1428.0
10,67,451.0,67,225.0,197.0,1030.0,1406.0,1687.0,116,56.0,197.0,337.0,1406.0,101.0,197.0,73.0,1406.0,844.0,1406.0,1717.0
11,74,665.0,74,1988.0,234.0,291.0,1485.0,775.0,126,760.0,234.0,1387.0,1485.0,1999.0,234.0,1317.0,1485.0,2118.0,1485.0,1852.0
12,89,1273.0,89,900.0,245.0,131.0,1589.0,214.0,143,725.0,245.0,1398.0,1589.0,353.0,245.0,690.0,1589.0,280.0,1589.0,663.0
13,91,1963.0,91,849.0,274.0,179.0,1600.0,944.0,155,1328.0,274.0,2059.0,1600.0,2000.0,274.0,731.0,1600.0,1959.0,1600.0,1026.0
14,93,424.0,93,407.0,334.0,299.0,1847.0,,162,1329.0,334.0,1459.0,543.0,,334.0,739.0,1453.0,,459.0,
15,96,56.0,96,1024.0,336.0,843.0,1152.0,,165,279.0,336.0,257.0,679.0,,336.0,881.0,1080.0,,920.0,
16,105,899.0,105,1244.0,345.0,1882.0,1468.0,,167,1565.0,345.0,2101.0,1784.0,,345.0,1550.0,1365.0,,336.0,
17,114,1556.0,114,275.0,347.0,1152.0,2035.0,,170,974.0,347.0,1156.0,277.0,,347.0,600.0,1042.0,,1517.0,
18,118,1398.0,118,2094.0,350.0,231.0,1945.0,,183,1359.0,350.0,108.0,2126.0,,350.0,595.0,2105.0,,1813.0,
19,119,133.0,119,620.0,357.0,1124.0,1443.0,,188,380.0,357.0,1794.0,2081.0,,357.0,1925.0,1558.0,,1231.0,
20,123,190.0,123,540.0,388.0,1896.0,914.0,,191,1762.0,388.0,696.0,1704.0,,388.0,1270.0,1247.0,,1165.0,
21,131,813.0,131,870.0,409.0,173.0,1580.0,,199,1640.0,409.0,913.0,65.0,,409.0,126.0,1482.0,,689.0,
22,160,2143.0,160,1206.0,415.0,2140.0,1499.0,,205,1071.0,415.0,588.0,15.0,,415.0,440.0,1694.0,,122.0,
23,173,1864.0,173,228.0,427.0,1687.0,2005.0,,208,2026.0,427.0,1454.0,527.0,,427.0,1319.0,833.0,,1428.0,
24,174,1296.0,174,1542.0,459.0,1215.0,1687.0,,212,482.0,459.0,1673.0,101.0,,459.0,1339.0,844.0,,1717.0,
25,179,2101.0,179,881.0,474.0,775.0,775.0,,223,1374.0,474.0,329.0,1999.0,,474.0,566.0,2118.0,,1852.0,
26,198,707.0,198,1063.0,480.0,992.0,214.0,,224,265.0,480.0,1700.0,353.0,,480.0,635.0,280.0,,663.0,
27,201,1156.0,201,856.0,488.0,201.0,944.0,,225,1305.0,488.0,543.0,2000.0,,488.0,1854.0,1959.0,,1026.0,
